name,sku,slug,category,brand,sellingPrice,mrp,stock,unit,barcode,description,deliveryMinutes,thumbnail,gallery,videoUrl,active,featured,bestseller,attributes,highlights,ingredients,storageInstructions,usageInstructions,replacementPolicy
Lay's India's Magic Masala Potato Chips,CHIPS-LAYS-01,lays-indias-magic-masala-potato-chips,potato-chips,lays,20,20,50,48 g,,Delicious hot and sweet Indian spices blended with crispy sliced potatoes.,10,/images/products/Chips & namkins/Lays chips/shopping (1).webp,"/images/products/Chips & namkins/Lays chips/shopping (1).webp,/images/products/Chips & namkins/Lays chips/shopping (2).webp",,true,true,true,Flavour:Magic Masala,Crispy & Spicy Potato Chips,"Potatoes, Edible Vegetable Oil, Spices and Condiments",Store in a cool dry place away from direct sunlight,Ready to eat snack,24-hour returnable
Lay's Spanish Tomato Tango Potato Chips,CHIPS-LAYS-02,lays-spanish-tomato-tango-potato-chips,potato-chips,lays,20,20,50,48 g,,Tangy Spanish tomato flavour with crunchy golden potato chips.,10,/images/products/Chips & namkins/Lays chips/shopping (3).webp,"/images/products/Chips & namkins/Lays chips/shopping (3).webp,/images/products/Chips & namkins/Lays chips/shopping (4).webp",,true,false,true,Flavour:Spanish Tomato,Tangy & Sweet Tomato Chips,"Potatoes, Edible Vegetable Oil, Tomato Powder, Sugar",Store in a cool dry place,Ready to eat snack,24-hour returnable
Lay's Classic Salted Potato Chips,CHIPS-LAYS-03,lays-classic-salted-potato-chips,potato-chips,lays,20,20,50,48 g,,Classic lightly salted crispy potato chips loved by everyone.,10,/images/products/Chips & namkins/lays potato chip/shopping.webp,"/images/products/Chips & namkins/lays potato chip/shopping.webp,/images/products/Chips & namkins/lays potato chip/shopping (1).webp",,true,false,false,Flavour:Classic Salted,Classic Salted Flavour,"Potatoes, Edible Vegetable Oil, Salt",Store in a cool dry place,Ready to eat snack,24-hour returnable
Kurkure Masala Munch Crispy Snacks,CHIPS-KURK-01,kurkure-masala-munch-crispy-snacks,kurkure-namkeen,kurkure,20,20,50,75 g,,Crunchy puffed corn curls packed with authentic Indian spices.,10,/images/products/Chips & namkins/kurkure/masala munch.webp,"/images/products/Chips & namkins/kurkure/masala munch.webp,/images/products/Chips & namkins/kurkure/masala munch(1).webp",,true,true,true,Flavour:Masala Munch,Crunchy Indian Corn Snacks,"Corn Meal, Rice Meal, Edible Vegetable Oil, Spices",Store in a cool dry place,Ready to eat snack,24-hour returnable
Coca-Cola Original Taste Soft Drink,DRINK-COCA-01,coca-cola-original-taste-soft-drink,soft-drinks-sodas,coca-cola,40,40,40,750 ml,,Classic sparkling refreshing cola drink served chilled.,10,/images/products/Cold Drinks/coca-cola.png,/images/products/Cold Drinks/coca-cola.png,,true,true,true,Packaging:Bottle,Original Cola Taste,"Carbonated Water, Sugar, Acidity Regulator, Caffeine",Keep refrigerated for best taste,Serve chilled,24-hour returnable
Thums Up Charged Soft Drink,DRINK-THUM-01,thums-up-charged-soft-drink,soft-drinks-sodas,thums-up,40,40,40,750 ml,,Strong and fizzy cola drink with a bold kick of refreshment.,10,/images/products/Cold Drinks/thums up.png,/images/products/Cold Drinks/thums up.png,,true,false,true,Packaging:Bottle,Strong Fizzy Taste,"Carbonated Water, Sugar, Acidity Regulator, Caffeine",Keep chilled,Serve chilled,24-hour returnable
Limca Lime & Lemon Flavoured Drink,DRINK-LIMC-01,limca-lime-lemon-flavoured-drink,soft-drinks-sodas,limca,40,40,40,750 ml,,Zesty and bubbly lemon-lime drink for instant refreshment.,10,/images/products/Cold Drinks/limca.png,/images/products/Cold Drinks/limca.png,,true,false,false,Packaging:Bottle,Lemon Lime Fizz,"Carbonated Water, Sugar, Lemon Flavours",Keep chilled,Serve chilled,24-hour returnable
Fresh Orange Juice (100% Real),DRINK-ORNG-01,fresh-orange-juice-100-real,fruit-juices,fresh-farm,55,60,30,1 L,,Refreshing natural orange juice packed with Vitamin C.,10,/images/products/Cold Drinks/orange juice.png,/images/products/Cold Drinks/orange juice.png,,true,true,false,Packaging:Tetra Pack,100% Real Orange Juice,"Water, Orange Juice Concentrate, Vitamin C",Refrigerate after opening,Shake well before use,24-hour returnable
Amul Taaza Homogenised Toned Milk,DAIRY-MILK-01,amul-taaza-homogenised-toned-milk,milk-cream,amul,27,28,60,500 ml,,Fresh pasteurised toned milk with 3% fat and 8.5% SNF.,10,/images/products/Dairy & Breakfast/Amul Milk/amul milk.png,"/images/products/Dairy & Breakfast/Amul Milk/amul milk.png,/images/products/Dairy & Breakfast/Amul Milk/milk.png",,true,true,true,Fat:3%|SNF:8.5%,Pasteurised Toned Milk,"Toned Milk, Vitamin A, Vitamin D",Keep refrigerated below 4°C,Ready to consume or boil,24-hour returnable
Amul Pasteurized Salted Butter,DAIRY-BUTR-01,amul-pasteurized-salted-butter,butter-cheese,amul,56,58,40,100 g,,Utterly butterly delicious creamy salted butter made from pure milk.,10,/images/products/Dairy & Breakfast/Amul Buttter/Butter.webp,/images/products/Dairy & Breakfast/Amul Buttter/Butter.webp,,true,true,true,Packaging:Pack,Pure Milk Butter,"Butter, Common Salt",Keep refrigerated below 4°C,"Spread on toast, cook or bake",24-hour returnable
Amul Processed Cheese Block,DAIRY-CHES-01,amul-processed-cheese-block,butter-cheese,amul,135,140,30,200 g,,Rich wholesome cheese block ideal for grating on pizzas and sandwiches.,10,/images/products/Dairy & Breakfast/Cheese/cheese.png,/images/products/Dairy & Breakfast/Cheese/cheese.png,,true,false,false,Packaging:Block,Pure Cow & Buffalo Milk Cheese,"Cheese, Sodium Citrate, Common Salt",Keep refrigerated,Grate on food or slice,24-hour returnable
Britannia Good Day Butter Cookies,BISC-GOOD-01,britannia-good-day-butter-cookies,cookies-crackers,britannia,30,30,50,120 g,,Crunchy butter cookies with a sweet smile on every cookie.,10,/images/products/Dairy & Breakfast/Good  day/Biscuit.png,/images/products/Dairy & Breakfast/Good  day/Biscuit.png,,true,false,true,Flavour:Butter,Rich Butter Flavour,"Refined Wheat Flour, Sugar, Butter, Milk Solids",Store in airtight container,Enjoy with tea or coffee,24-hour returnable
